5 Actions | 10,000 Contexts | 250 per Segment | 2500 Pause | Half-scores off

Segment: 1 | Count: 250 | Total Reward: -208 | Count Reward Half: 0 | Count Reward Full: 21
Segment: 2 | Count: 250 | Total Reward: -88 | Count Reward Half: 0 | Count Reward Full: 81
Segment: 3 | Count: 250 | Total Reward: -6 | Count Reward Half: 0 | Count Reward Full: 122
Segment: 4 | Count: 250 | Total Reward: -16 | Count Reward Half: 0 | Count Reward Full: 117
Segment: 5 | Count: 250 | Total Reward: -12 | Count Reward Half: 0 | Count Reward Full: 119
Segment: 6 | Count: 250 | Total Reward: -46 | Count Reward Half: 0 | Count Reward Full: 102
Segment: 7 | Count: 250 | Total Reward: -26 | Count Reward Half: 0 | Count Reward Full: 112
Segment: 8 | Count: 250 | Total Reward: -14 | Count Reward Half: 0 | Count Reward Full: 118
Segment: 9 | Count: 250 | Total Reward: -14 | Count Reward Half: 0 | Count Reward Full: 118
Segment: 10 | Count: 250 | Total Reward: -24 | Count Reward Half: 0 | Count Reward Full: 113
Segment: 11 | Count: 250 | Total Reward: -12 | Count Reward Half: 0 | Count Reward Full: 119
Segment: 12 | Count: 250 | Total Reward: -36 | Count Reward Half: 0 | Count Reward Full: 107
Segment: 13 | Count: 250 | Total Reward: -46 | Count Reward Half: 0 | Count Reward Full: 102
Segment: 14 | Count: 250 | Total Reward: -18 | Count Reward Half: 0 | Count Reward Full: 116
Segment: 15 | Count: 250 | Total Reward: -20 | Count Reward Half: 0 | Count Reward Full: 115
Segment: 16 | Count: 250 | Total Reward: -16 | Count Reward Half: 0 | Count Reward Full: 117
Segment: 17 | Count: 250 | Total Reward: -14 | Count Reward Half: 0 | Count Reward Full: 118
Segment: 18 | Count: 250 | Total Reward: 6 | Count Reward Half: 0 | Count Reward Full: 128
Segment: 19 | Count: 250 | Total Reward: -24 | Count Reward Half: 0 | Count Reward Full: 113
Segment: 20 | Count: 250 | Total Reward: -26 | Count Reward Half: 0 | Count Reward Full: 112
Segment: 21 | Count: 250 | Total Reward: -32 | Count Reward Half: 0 | Count Reward Full: 109
Segment: 22 | Count: 250 | Total Reward: -42 | Count Reward Half: 0 | Count Reward Full: 104
Segment: 23 | Count: 250 | Total Reward: -6 | Count Reward Half: 0 | Count Reward Full: 122
Segment: 24 | Count: 250 | Total Reward: -4 | Count Reward Half: 0 | Count Reward Full: 123
Segment: 25 | Count: 250 | Total Reward: -28 | Count Reward Half: 0 | Count Reward Full: 111
Segment: 26 | Count: 250 | Total Reward: -36 | Count Reward Half: 0 | Count Reward Full: 107
Segment: 27 | Count: 250 | Total Reward: 8 | Count Reward Half: 0 | Count Reward Full: 129
Segment: 28 | Count: 250 | Total Reward: -46 | Count Reward Half: 0 | Count Reward Full: 102
Segment: 29 | Count: 250 | Total Reward: -42 | Count Reward Half: 0 | Count Reward Full: 104
Segment: 30 | Count: 250 | Total Reward: -36 | Count Reward Half: 0 | Count Reward Full: 107
Segment: 31 | Count: 250 | Total Reward: -14 | Count Reward Half: 0 | Count Reward Full: 118
Segment: 32 | Count: 250 | Total Reward: -26 | Count Reward Half: 0 | Count Reward Full: 112
Segment: 33 | Count: 250 | Total Reward: -24 | Count Reward Half: 0 | Count Reward Full: 113
Segment: 34 | Count: 250 | Total Reward: 14 | Count Reward Half: 0 | Count Reward Full: 132
Segment: 35 | Count: 250 | Total Reward: -14 | Count Reward Half: 0 | Count Reward Full: 118
Segment: 36 | Count: 250 | Total Reward: -8 | Count Reward Half: 0 | Count Reward Full: 121
Segment: 37 | Count: 250 | Total Reward: -34 | Count Reward Half: 0 | Count Reward Full: 108
Segment: 38 | Count: 250 | Total Reward: -20 | Count Reward Half: 0 | Count Reward Full: 115
Segment: 39 | Count: 250 | Total Reward: -64 | Count Reward Half: 0 | Count Reward Full: 93
Segment: 40 | Count: 250 | Total Reward: -2 | Count Reward Half: 0 | Count Reward Full: 124
