Segment: 1 | Count: 500 | Total Reward: 185.33 | Count Reward Weak: 85 | Count Reward Moderate: 84 | Count Reward Strong: 101
Segment: 2 | Count: 500 | Total Reward: 149.64 | Count Reward Weak: 89 | Count Reward Moderate: 81 | Count Reward Strong: 66
Segment: 3 | Count: 500 | Total Reward: 124.65 | Count Reward Weak: 86 | Count Reward Moderate: 81 | Count Reward Strong: 42
Segment: 4 | Count: 500 | Total Reward: 151.99 | Count Reward Weak: 86 | Count Reward Moderate: 83 | Count Reward Strong: 68
Segment: 5 | Count: 500 | Total Reward: 141.91 | Count Reward Weak: 89 | Count Reward Moderate: 62 | Count Reward Strong: 71
Segment: 6 | Count: 500 | Total Reward: 112.92 | Count Reward Weak: 73 | Count Reward Moderate: 49 | Count Reward Strong: 56
Segment: 7 | Count: 500 | Total Reward: 173.28 | Count Reward Weak: 98 | Count Reward Moderate: 82 | Count Reward Strong: 86
Segment: 8 | Count: 500 | Total Reward: 176.27 | Count Reward Weak: 97 | Count Reward Moderate: 78 | Count Reward Strong: 92
Segment: 9 | Count: 500 | Total Reward: 177.88 | Count Reward Weak: 107 | Count Reward Moderate: 71 | Count Reward Strong: 95
Segment: 10 | Count: 500 | Total Reward: 195.57 | Count Reward Weak: 113 | Count Reward Moderate: 84 | Count Reward Strong: 102
Segment: 11 | Count: 500 | Total Reward: 136.39 | Count Reward Weak: 75 | Count Reward Moderate: 92 | Count Reward Strong: 50
Segment: 12 | Count: 500 | Total Reward: 117.97 | Count Reward Weak: 84 | Count Reward Moderate: 75 | Count Reward Strong: 40
Segment: 13 | Count: 500 | Total Reward: 143.29 | Count Reward Weak: 96 | Count Reward Moderate: 83 | Count Reward Strong: 56
Segment: 14 | Count: 500 | Total Reward: 128.89 | Count Reward Weak: 92 | Count Reward Moderate: 59 | Count Reward Strong: 59
Segment: 15 | Count: 500 | Total Reward: 133.96 | Count Reward Weak: 80 | Count Reward Moderate: 68 | Count Reward Strong: 62
Segment: 16 | Count: 500 | Total Reward: 98.29 | Count Reward Weak: 64 | Count Reward Moderate: 51 | Count Reward Strong: 43
Segment: 17 | Count: 500 | Total Reward: 156.25 | Count Reward Weak: 93 | Count Reward Moderate: 68 | Count Reward Strong: 80
Segment: 18 | Count: 500 | Total Reward: 151.32 | Count Reward Weak: 82 | Count Reward Moderate: 78 | Count Reward Strong: 72
Segment: 19 | Count: 500 | Total Reward: 140.92 | Count Reward Weak: 87 | Count Reward Moderate: 63 | Count Reward Strong: 70
Segment: 20 | Count: 500 | Total Reward: 117.58 | Count Reward Weak: 79 | Count Reward Moderate: 53 | Count Reward Strong: 56
Segment: 21 | Count: 500 | Total Reward: 145.31 | Count Reward Weak: 82 | Count Reward Moderate: 75 | Count Reward Strong: 68
Segment: 22 | Count: 500 | Total Reward: 146.56 | Count Reward Weak: 94 | Count Reward Moderate: 62 | Count Reward Strong: 74
Segment: 23 | Count: 500 | Total Reward: 180.96 | Count Reward Weak: 97 | Count Reward Moderate: 85 | Count Reward Strong: 92
Segment: 24 | Count: 500 | Total Reward: 146.27 | Count Reward Weak: 86 | Count Reward Moderate: 67 | Count Reward Strong: 73
Segment: 25 | Count: 500 | Total Reward: 136.26 | Count Reward Weak: 79 | Count Reward Moderate: 57 | Count Reward Strong: 72
Segment: 26 | Count: 500 | Total Reward: 170.63 | Count Reward Weak: 93 | Count Reward Moderate: 82 | Count Reward Strong: 85
Segment: 27 | Count: 500 | Total Reward: 179.55 | Count Reward Weak: 103 | Count Reward Moderate: 68 | Count Reward Strong: 100
Segment: 28 | Count: 500 | Total Reward: 195.26 | Count Reward Weak: 103 | Count Reward Moderate: 81 | Count Reward Strong: 107
Segment: 29 | Count: 500 | Total Reward: 169.32 | Count Reward Weak: 88 | Count Reward Moderate: 84 | Count Reward Strong: 84
Segment: 30 | Count: 500 | Total Reward: 170.61 | Count Reward Weak: 106 | Count Reward Moderate: 89 | Count Reward Strong: 76
Segment: 31 | Count: 500 | Total Reward: 175.22 | Count Reward Weak: 102 | Count Reward Moderate: 68 | Count Reward Strong: 96
Segment: 32 | Count: 500 | Total Reward: 152.29 | Count Reward Weak: 105 | Count Reward Moderate: 92 | Count Reward Strong: 56
Segment: 33 | Count: 500 | Total Reward: 152.58 | Count Reward Weak: 99 | Count Reward Moderate: 73 | Count Reward Strong: 71
Segment: 34 | Count: 500 | Total Reward: 157.29 | Count Reward Weak: 90 | Count Reward Moderate: 77 | Count Reward Strong: 76
Segment: 35 | Count: 500 | Total Reward: 190.66 | Count Reward Weak: 100 | Count Reward Moderate: 98 | Count Reward Strong: 92
Segment: 36 | Count: 500 | Total Reward: 160.33 | Count Reward Weak: 79 | Count Reward Moderate: 78 | Count Reward Strong: 82
Segment: 37 | Count: 500 | Total Reward: 153.61 | Count Reward Weak: 94 | Count Reward Moderate: 77 | Count Reward Strong: 71
Segment: 38 | Count: 500 | Total Reward: 155.63 | Count Reward Weak: 92 | Count Reward Moderate: 81 | Count Reward Strong: 71
Segment: 39 | Count: 500 | Total Reward: 171.27 | Count Reward Weak: 102 | Count Reward Moderate: 83 | Count Reward Strong: 82
Segment: 40 | Count: 500 | Total Reward: 159.59 | Count Reward Weak: 94 | Count Reward Moderate: 71 | Count Reward Strong: 81
Segment: 41 | Count: 500 | Total Reward: 180.72 | Count Reward Weak: 70 | Count Reward Moderate: 86 | Count Reward Strong: 100
Segment: 42 | Count: 500 | Total Reward: 170.63 | Count Reward Weak: 89 | Count Reward Moderate: 78 | Count Reward Strong: 89
Segment: 43 | Count: 500 | Total Reward: 181.88 | Count Reward Weak: 112 | Count Reward Moderate: 76 | Count Reward Strong: 94
Segment: 44 | Count: 500 | Total Reward: 170.64 | Count Reward Weak: 93 | Count Reward Moderate: 85 | Count Reward Strong: 83
Segment: 45 | Count: 500 | Total Reward: 172.29 | Count Reward Weak: 92 | Count Reward Moderate: 79 | Count Reward Strong: 89
Segment: 46 | Count: 500 | Total Reward: 134.2 | Count Reward Weak: 93 | Count Reward Moderate: 53 | Count Reward Strong: 68
Segment: 47 | Count: 500 | Total Reward: 178.61 | Count Reward Weak: 96 | Count Reward Moderate: 79 | Count Reward Strong: 94
Segment: 48 | Count: 500 | Total Reward: 174.66 | Count Reward Weak: 90 | Count Reward Moderate: 88 | Count Reward Strong: 86
Segment: 49 | Count: 500 | Total Reward: 172.95 | Count Reward Weak: 98 | Count Reward Moderate: 83 | Count Reward Strong: 85
Segment: 50 | Count: 500 | Total Reward: 185.02 | Count Reward Weak: 91 | Count Reward Moderate: 97 | Count Reward Strong: 90
Segment: 51 | Count: 500 | Total Reward: 178.7 | Count Reward Weak: 87 | Count Reward Moderate: 97 | Count Reward Strong: 85
Segment: 52 | Count: 500 | Total Reward: 184.29 | Count Reward Weak: 107 | Count Reward Moderate: 94 | Count Reward Strong: 86
Segment: 53 | Count: 500 | Total Reward: 180.01 | Count Reward Weak: 82 | Count Reward Moderate: 85 | Count Reward Strong: 96
Segment: 54 | Count: 500 | Total Reward: 169.31 | Count Reward Weak: 90 | Count Reward Moderate: 83 | Count Reward Strong: 84
Segment: 55 | Count: 500 | Total Reward: 173.26 | Count Reward Weak: 105 | Count Reward Moderate: 83 | Count Reward Strong: 83
Segment: 56 | Count: 500 | Total Reward: 160.66 | Count Reward Weak: 82 | Count Reward Moderate: 80 | Count Reward Strong: 80
Segment: 57 | Count: 500 | Total Reward: 190.98 | Count Reward Weak: 102 | Count Reward Moderate: 96 | Count Reward Strong: 93
Segment: 58 | Count: 500 | Total Reward: 183.29 | Count Reward Weak: 93 | Count Reward Moderate: 80 | Count Reward Strong: 99
Segment: 59 | Count: 500 | Total Reward: 181.67 | Count Reward Weak: 94 | Count Reward Moderate: 95 | Count Reward Strong: 87
Segment: 60 | Count: 500 | Total Reward: 163.33 | Count Reward Weak: 86 | Count Reward Moderate: 85 | Count Reward Strong: 78
Segment: 61 | Count: 500 | Total Reward: 173.6 | Count Reward Weak: 98 | Count Reward Moderate: 78 | Count Reward Strong: 89
Segment: 62 | Count: 500 | Total Reward: 175.56 | Count Reward Weak: 105 | Count Reward Moderate: 73 | Count Reward Strong: 92
Segment: 63 | Count: 500 | Total Reward: 180.59 | Count Reward Weak: 105 | Count Reward Moderate: 82 | Count Reward Strong: 91
Segment: 64 | Count: 500 | Total Reward: 170.25 | Count Reward Weak: 101 | Count Reward Moderate: 76 | Count Reward Strong: 86
Segment: 65 | Count: 500 | Total Reward: 169.28 | Count Reward Weak: 91 | Count Reward Moderate: 75 | Count Reward Strong: 89
Segment: 66 | Count: 500 | Total Reward: 158.82 | Count Reward Weak: 111 | Count Reward Moderate: 57 | Count Reward Strong: 84
Segment: 67 | Count: 500 | Total Reward: 151.94 | Count Reward Weak: 83 | Count Reward Moderate: 65 | Count Reward Strong: 81
Segment: 68 | Count: 500 | Total Reward: 176.9 | Count Reward Weak: 99 | Count Reward Moderate: 69 | Count Reward Strong: 98
Segment: 69 | Count: 500 | Total Reward: 187.61 | Count Reward Weak: 102 | Count Reward Moderate: 85 | Count Reward Strong: 97
Segment: 70 | Count: 500 | Total Reward: 179.65 | Count Reward Weak: 103 | Count Reward Moderate: 98 | Count Reward Strong: 80
Segment: 71 | Count: 500 | Total Reward: 164.89 | Count Reward Weak: 106 | Count Reward Moderate: 73 | Count Reward Strong: 81
Segment: 72 | Count: 500 | Total Reward: 172.89 | Count Reward Weak: 105 | Count Reward Moderate: 72 | Count Reward Strong: 90
Segment: 73 | Count: 500 | Total Reward: 187.06 | Count Reward Weak: 81 | Count Reward Moderate: 99 | Count Reward Strong: 94
Segment: 74 | Count: 500 | Total Reward: 189 | Count Reward Weak: 91 | Count Reward Moderate: 91 | Count Reward Strong: 98
Segment: 75 | Count: 500 | Total Reward: 170.69 | Count Reward Weak: 80 | Count Reward Moderate: 87 | Count Reward Strong: 86
Segment: 76 | Count: 500 | Total Reward: 173.28 | Count Reward Weak: 98 | Count Reward Moderate: 82 | Count Reward Strong: 86
Segment: 77 | Count: 500 | Total Reward: 172.24 | Count Reward Weak: 97 | Count Reward Moderate: 69 | Count Reward Strong: 94
Segment: 78 | Count: 500 | Total Reward: 158.31 | Count Reward Weak: 93 | Count Reward Moderate: 86 | Count Reward Strong: 70
Segment: 79 | Count: 500 | Total Reward: 180.62 | Count Reward Weak: 95 | Count Reward Moderate: 81 | Count Reward Strong: 95
Segment: 80 | Count: 500 | Total Reward: 173.22 | Count Reward Weak: 103 | Count Reward Moderate: 69 | Count Reward Strong: 93
