Segment: 1 | Count: 250 | Total Reward: 20.23 | Count Reward Weak: 40 | Count Reward Moderate: 9 | Count Reward Strong: 1
Segment: 2 | Count: 250 | Total Reward: 19.53 | Count Reward Weak: 46 | Count Reward Moderate: 5 | Count Reward Strong: 1
Segment: 3 | Count: 250 | Total Reward: 61.62 | Count Reward Weak: 34 | Count Reward Moderate: 20 | Count Reward Strong: 37
Segment: 4 | Count: 250 | Total Reward: 67.99 | Count Reward Weak: 36 | Count Reward Moderate: 33 | Count Reward Strong: 34
Segment: 5 | Count: 250 | Total Reward: 69.36 | Count Reward Weak: 41 | Count Reward Moderate: 49 | Count Reward Strong: 23
Segment: 6 | Count: 250 | Total Reward: 100.04 | Count Reward Weak: 40 | Count Reward Moderate: 52 | Count Reward Strong: 52
Segment: 7 | Count: 250 | Total Reward: 64.98 | Count Reward Weak: 33 | Count Reward Moderate: 27 | Count Reward Strong: 36
Segment: 8 | Count: 250 | Total Reward: 63.68 | Count Reward Weak: 39 | Count Reward Moderate: 43 | Count Reward Strong: 22
Segment: 9 | Count: 250 | Total Reward: 86.02 | Count Reward Weak: 37 | Count Reward Moderate: 43 | Count Reward Strong: 45
Segment: 10 | Count: 250 | Total Reward: 91.99 | Count Reward Weak: 42 | Count Reward Moderate: 39 | Count Reward Strong: 52
Segment: 11 | Count: 250 | Total Reward: 87.68 | Count Reward Weak: 39 | Count Reward Moderate: 43 | Count Reward Strong: 46
Segment: 12 | Count: 250 | Total Reward: 61.96 | Count Reward Weak: 32 | Count Reward Moderate: 20 | Count Reward Strong: 38
Segment: 13 | Count: 250 | Total Reward: 61.99 | Count Reward Weak: 35 | Count Reward Moderate: 32 | Count Reward Strong: 29
Segment: 14 | Count: 250 | Total Reward: 92.94 | Count Reward Weak: 50 | Count Reward Moderate: 32 | Count Reward Strong: 55
Segment: 15 | Count: 250 | Total Reward: 89.29 | Count Reward Weak: 46 | Count Reward Moderate: 33 | Count Reward Strong: 52
Segment: 16 | Count: 250 | Total Reward: 90.96 | Count Reward Weak: 47 | Count Reward Moderate: 35 | Count Reward Strong: 52
Segment: 17 | Count: 250 | Total Reward: 86.31 | Count Reward Weak: 40 | Count Reward Moderate: 33 | Count Reward Strong: 51
Segment: 18 | Count: 250 | Total Reward: 98.01 | Count Reward Weak: 37 | Count Reward Moderate: 40 | Count Reward Strong: 59
Segment: 19 | Count: 250 | Total Reward: 88.62 | Count Reward Weak: 44 | Count Reward Moderate: 30 | Count Reward Strong: 54
Segment: 20 | Count: 250 | Total Reward: 84.99 | Count Reward Weak: 47 | Count Reward Moderate: 44 | Count Reward Strong: 40
Segment: 21 | Count: 250 | Total Reward: 75.28 | Count Reward Weak: 39 | Count Reward Moderate: 23 | Count Reward Strong: 47
Segment: 22 | Count: 250 | Total Reward: 72 | Count Reward Weak: 31 | Count Reward Moderate: 31 | Count Reward Strong: 41
Segment: 23 | Count: 250 | Total Reward: 85.65 | Count Reward Weak: 36 | Count Reward Moderate: 31 | Count Reward Strong: 53
Segment: 24 | Count: 250 | Total Reward: 97.67 | Count Reward Weak: 48 | Count Reward Moderate: 49 | Count Reward Strong: 49
Segment: 25 | Count: 250 | Total Reward: 85.02 | Count Reward Weak: 41 | Count Reward Moderate: 47 | Count Reward Strong: 40
Segment: 26 | Count: 250 | Total Reward: 85.62 | Count Reward Weak: 51 | Count Reward Moderate: 37 | Count Reward Strong: 44
Segment: 27 | Count: 250 | Total Reward: 82.27 | Count Reward Weak: 53 | Count Reward Moderate: 34 | Count Reward Strong: 42
Segment: 28 | Count: 250 | Total Reward: 88.67 | Count Reward Weak: 38 | Count Reward Moderate: 39 | Count Reward Strong: 50
Segment: 29 | Count: 250 | Total Reward: 72.96 | Count Reward Weak: 45 | Count Reward Moderate: 33 | Count Reward Strong: 36
Segment: 30 | Count: 250 | Total Reward: 83.63 | Count Reward Weak: 47 | Count Reward Moderate: 36 | Count Reward Strong: 44
Segment: 31 | Count: 250 | Total Reward: 90.3 | Count Reward Weak: 45 | Count Reward Moderate: 35 | Count Reward Strong: 52
Segment: 32 | Count: 250 | Total Reward: 83.67 | Count Reward Weak: 39 | Count Reward Moderate: 40 | Count Reward Strong: 44
Segment: 33 | Count: 250 | Total Reward: 92.68 | Count Reward Weak: 40 | Count Reward Moderate: 44 | Count Reward Strong: 50
Segment: 34 | Count: 250 | Total Reward: 91 | Count Reward Weak: 42 | Count Reward Moderate: 42 | Count Reward Strong: 49
Segment: 35 | Count: 250 | Total Reward: 75.99 | Count Reward Weak: 48 | Count Reward Moderate: 45 | Count Reward Strong: 30
Segment: 36 | Count: 250 | Total Reward: 89.01 | Count Reward Weak: 44 | Count Reward Moderate: 47 | Count Reward Strong: 43
Segment: 37 | Count: 250 | Total Reward: 31.23 | Count Reward Weak: 45 | Count Reward Moderate: 14 | Count Reward Strong: 7
Segment: 38 | Count: 250 | Total Reward: 37.26 | Count Reward Weak: 43 | Count Reward Moderate: 21 | Count Reward Strong: 9
Segment: 39 | Count: 250 | Total Reward: 40.29 | Count Reward Weak: 41 | Count Reward Moderate: 28 | Count Reward Strong: 8
Segment: 40 | Count: 250 | Total Reward: 85.01 | Count Reward Weak: 44 | Count Reward Moderate: 47 | Count Reward Strong: 39
Segment: 41 | Count: 250 | Total Reward: 67.98 | Count Reward Weak: 43 | Count Reward Moderate: 37 | Count Reward Strong: 29
Segment: 42 | Count: 250 | Total Reward: 63.28 | Count Reward Weak: 37 | Count Reward Moderate: 21 | Count Reward Strong: 37
Segment: 43 | Count: 250 | Total Reward: 68.32 | Count Reward Weak: 43 | Count Reward Moderate: 39 | Count Reward Strong: 28
Segment: 44 | Count: 250 | Total Reward: 66.31 | Count Reward Weak: 45 | Count Reward Moderate: 38 | Count Reward Strong: 26
Segment: 45 | Count: 250 | Total Reward: 81.99 | Count Reward Weak: 49 | Count Reward Moderate: 46 | Count Reward Strong: 35
Segment: 46 | Count: 250 | Total Reward: 65.34 | Count Reward Weak: 23 | Count Reward Moderate: 25 | Count Reward Strong: 41
Segment: 47 | Count: 250 | Total Reward: 84.31 | Count Reward Weak: 44 | Count Reward Moderate: 37 | Count Reward Strong: 45
Segment: 48 | Count: 250 | Total Reward: 88.01 | Count Reward Weak: 36 | Count Reward Moderate: 39 | Count Reward Strong: 50
