Segment: 49 | Count: 500 | Total Reward: 113.38 | Count Reward Weak: 41 | Count Reward Moderate: 55 | Count Reward Strong: 63
Segment: 50 | Count: 500 | Total Reward: 98.02 | Count Reward Weak: 45 | Count Reward Moderate: 51 | Count Reward Strong: 49
Segment: 51 | Count: 500 | Total Reward: 109.03 | Count Reward Weak: 43 | Count Reward Moderate: 52 | Count Reward Strong: 60
Segment: 52 | Count: 500 | Total Reward: 101.03 | Count Reward Weak: 45 | Count Reward Moderate: 54 | Count Reward Strong: 50
Segment: 53 | Count: 500 | Total Reward: 120.4 | Count Reward Weak: 38 | Count Reward Moderate: 58 | Count Reward Strong: 69
Segment: 54 | Count: 500 | Total Reward: 161.91 | Count Reward Weak: 90 | Count Reward Moderate: 63 | Count Reward Strong: 90
Segment: 55 | Count: 500 | Total Reward: 139.64 | Count Reward Weak: 64 | Count Reward Moderate: 56 | Count Reward Strong: 81
Segment: 56 | Count: 500 | Total Reward: 160.08 | Count Reward Weak: 67 | Count Reward Moderate: 91 | Count Reward Strong: 77
Segment: 57 | Count: 500 | Total Reward: 167.61 | Count Reward Weak: 87 | Count Reward Moderate: 70 | Count Reward Strong: 92
Segment: 58 | Count: 500 | Total Reward: 155.65 | Count Reward Weak: 81 | Count Reward Moderate: 76 | Count Reward Strong: 78
Segment: 59 | Count: 500 | Total Reward: 158.65 | Count Reward Weak: 79 | Count Reward Moderate: 74 | Count Reward Strong: 83
Segment: 60 | Count: 500 | Total Reward: 159.26 | Count Reward Weak: 89 | Count Reward Moderate: 67 | Count Reward Strong: 85
Segment: 61 | Count: 500 | Total Reward: 162.34 | Count Reward Weak: 75 | Count Reward Moderate: 77 | Count Reward Strong: 86
Segment: 62 | Count: 500 | Total Reward: 134.32 | Count Reward Weak: 71 | Count Reward Moderate: 67 | Count Reward Strong: 66
Segment: 63 | Count: 500 | Total Reward: 132.36 | Count Reward Weak: 55 | Count Reward Moderate: 63 | Count Reward Strong: 72
Segment: 64 | Count: 500 | Total Reward: 125 | Count Reward Weak: 47 | Count Reward Moderate: 47 | Count Reward Strong: 78
Segment: 65 | Count: 500 | Total Reward: 96.38 | Count Reward Weak: 38 | Count Reward Moderate: 52 | Count Reward Strong: 49
Segment: 66 | Count: 500 | Total Reward: 103.08 | Count Reward Weak: 34 | Count Reward Moderate: 58 | Count Reward Strong: 53
Segment: 67 | Count: 500 | Total Reward: 111.99 | Count Reward Weak: 61 | Count Reward Moderate: 58 | Count Reward Strong: 53
Segment: 68 | Count: 500 | Total Reward: 157.02 | Count Reward Weak: 81 | Count Reward Moderate: 87 | Count Reward Strong: 72
Segment: 69 | Count: 500 | Total Reward: 157.68 | Count Reward Weak: 76 | Count Reward Moderate: 80 | Count Reward Strong: 79
Segment: 70 | Count: 500 | Total Reward: 156.97 | Count Reward Weak: 83 | Count Reward Moderate: 74 | Count Reward Strong: 80
Segment: 71 | Count: 500 | Total Reward: 145.59 | Count Reward Weak: 91 | Count Reward Moderate: 68 | Count Reward Strong: 70
Segment: 72 | Count: 500 | Total Reward: 144.23 | Count Reward Weak: 101 | Count Reward Moderate: 70 | Count Reward Strong: 64
Segment: 73 | Count: 500 | Total Reward: 163.3 | Count Reward Weak: 88 | Count Reward Moderate: 78 | Count Reward Strong: 82
Segment: 74 | Count: 500 | Total Reward: 162.26 | Count Reward Weak: 87 | Count Reward Moderate: 65 | Count Reward Strong: 90
Segment: 75 | Count: 500 | Total Reward: 164.33 | Count Reward Weak: 86 | Count Reward Moderate: 85 | Count Reward Strong: 79
Segment: 76 | Count: 500 | Total Reward: 162.3 | Count Reward Weak: 78 | Count Reward Moderate: 68 | Count Reward Strong: 91
Segment: 77 | Count: 500 | Total Reward: 141.63 | Count Reward Weak: 78 | Count Reward Moderate: 67 | Count Reward Strong: 71
Segment: 78 | Count: 500 | Total Reward: 155.29 | Count Reward Weak: 85 | Count Reward Moderate: 72 | Count Reward Strong: 79
