Segment: 1 | Count: 100 | Total Reward: 19.67 | Count Reward Weak: 10 | Count Reward Moderate: 11 | Count Reward Strong: 9
Segment: 2 | Count: 100 | Total Reward: 19.99 | Count Reward Weak: 11 | Count Reward Moderate: 8 | Count Reward Strong: 11
Segment: 3 | Count: 100 | Total Reward: 17.34 | Count Reward Weak: 13 | Count Reward Moderate: 15 | Count Reward Strong: 3
Segment: 4 | Count: 100 | Total Reward: 17.67 | Count Reward Weak: 9 | Count Reward Moderate: 10 | Count Reward Strong: 8
Segment: 5 | Count: 100 | Total Reward: 18.97 | Count Reward Weak: 15 | Count Reward Moderate: 6 | Count Reward Strong: 10
Segment: 6 | Count: 100 | Total Reward: 24.34 | Count Reward Weak: 15 | Count Reward Moderate: 17 | Count Reward Strong: 8
Segment: 7 | Count: 100 | Total Reward: 18.31 | Count Reward Weak: 17 | Count Reward Moderate: 10 | Count Reward Strong: 6
Segment: 8 | Count: 100 | Total Reward: 23.67 | Count Reward Weak: 12 | Count Reward Moderate: 13 | Count Reward Strong: 11
Segment: 9 | Count: 100 | Total Reward: 22.01 | Count Reward Weak: 12 | Count Reward Moderate: 15 | Count Reward Strong: 8
Segment: 10 | Count: 100 | Total Reward: 19.31 | Count Reward Weak: 19 | Count Reward Moderate: 12 | Count Reward Strong: 5
Segment: 11 | Count: 100 | Total Reward: 24.33 | Count Reward Weak: 14 | Count Reward Moderate: 13 | Count Reward Strong: 11
Segment: 12 | Count: 100 | Total Reward: 13.62 | Count Reward Weak: 17 | Count Reward Moderate: 3 | Count Reward Strong: 6
Segment: 13 | Count: 100 | Total Reward: 20.98 | Count Reward Weak: 17 | Count Reward Moderate: 11 | Count Reward Strong: 8
Segment: 14 | Count: 100 | Total Reward: 21.33 | Count Reward Weak: 14 | Count Reward Moderate: 13 | Count Reward Strong: 8
Segment: 15 | Count: 100 | Total Reward: 21.31 | Count Reward Weak: 19 | Count Reward Moderate: 12 | Count Reward Strong: 7
Segment: 16 | Count: 100 | Total Reward: 14.65 | Count Reward Weak: 11 | Count Reward Moderate: 6 | Count Reward Strong: 7
Segment: 17 | Count: 100 | Total Reward: 17.31 | Count Reward Weak: 14 | Count Reward Moderate: 7 | Count Reward Strong: 8
Segment: 18 | Count: 100 | Total Reward: 24.97 | Count Reward Weak: 18 | Count Reward Moderate: 9 | Count Reward Strong: 13
Segment: 19 | Count: 100 | Total Reward: 18.29 | Count Reward Weak: 22 | Count Reward Moderate: 9 | Count Reward Strong: 5
Segment: 20 | Count: 100 | Total Reward: 22.33 | Count Reward Weak: 11 | Count Reward Moderate: 10 | Count Reward Strong: 12
Segment: 21 | Count: 100 | Total Reward: 17.66 | Count Reward Weak: 15 | Count Reward Moderate: 13 | Count Reward Strong: 4
Segment: 22 | Count: 100 | Total Reward: 17.94 | Count Reward Weak: 24 | Count Reward Moderate: 6 | Count Reward Strong: 6
Segment: 23 | Count: 100 | Total Reward: 10.64 | Count Reward Weak: 11 | Count Reward Moderate: 3 | Count Reward Strong: 5
Segment: 24 | Count: 100 | Total Reward: 21.32 | Count Reward Weak: 16 | Count Reward Moderate: 12 | Count Reward Strong: 8
Segment: 25 | Count: 100 | Total Reward: 22.3 | Count Reward Weak: 20 | Count Reward Moderate: 10 | Count Reward Strong: 9
Segment: 26 | Count: 100 | Total Reward: 22.32 | Count Reward Weak: 13 | Count Reward Moderate: 9 | Count Reward Strong: 12
Segment: 27 | Count: 100 | Total Reward: 19.29 | Count Reward Weak: 22 | Count Reward Moderate: 9 | Count Reward Strong: 6
Segment: 28 | Count: 100 | Total Reward: 19.31 | Count Reward Weak: 9 | Count Reward Moderate: 2 | Count Reward Strong: 15
Segment: 29 | Count: 100 | Total Reward: 21.34 | Count Reward Weak: 12 | Count Reward Moderate: 14 | Count Reward Strong: 8
Segment: 30 | Count: 100 | Total Reward: 19.33 | Count Reward Weak: 11 | Count Reward Moderate: 10 | Count Reward Strong: 9
Segment: 31 | Count: 100 | Total Reward: 17.02 | Count Reward Weak: 6 | Count Reward Moderate: 12 | Count Reward Strong: 7
Segment: 32 | Count: 100 | Total Reward: 18 | Count Reward Weak: 7 | Count Reward Moderate: 7 | Count Reward Strong: 11
Segment: 33 | Count: 100 | Total Reward: 19.66 | Count Reward Weak: 12 | Count Reward Moderate: 10 | Count Reward Strong: 9
Segment: 34 | Count: 100 | Total Reward: 15.99 | Count Reward Weak: 14 | Count Reward Moderate: 11 | Count Reward Strong: 4
Segment: 35 | Count: 100 | Total Reward: 15.98 | Count Reward Weak: 17 | Count Reward Moderate: 11 | Count Reward Strong: 3
Segment: 36 | Count: 100 | Total Reward: 13.96 | Count Reward Weak: 19 | Count Reward Moderate: 7 | Count Reward Strong: 3
Segment: 37 | Count: 100 | Total Reward: 17.97 | Count Reward Weak: 19 | Count Reward Moderate: 10 | Count Reward Strong: 5
Segment: 38 | Count: 100 | Total Reward: 16.3 | Count Reward Weak: 19 | Count Reward Moderate: 9 | Count Reward Strong: 4
Segment: 39 | Count: 100 | Total Reward: 16.96 | Count Reward Weak: 20 | Count Reward Moderate: 8 | Count Reward Strong: 5
Segment: 40 | Count: 100 | Total Reward: 17.65 | Count Reward Weak: 15 | Count Reward Moderate: 10 | Count Reward Strong: 6
Segment: 41 | Count: 100 | Total Reward: 21.32 | Count Reward Weak: 14 | Count Reward Moderate: 10 | Count Reward Strong: 10
Segment: 42 | Count: 100 | Total Reward: 20.35 | Count Reward Weak: 8 | Count Reward Moderate: 13 | Count Reward Strong: 9
Segment: 43 | Count: 100 | Total Reward: 24.01 | Count Reward Weak: 9 | Count Reward Moderate: 12 | Count Reward Strong: 13
Segment: 44 | Count: 100 | Total Reward: 19.97 | Count Reward Weak: 15 | Count Reward Moderate: 6 | Count Reward Strong: 11
Segment: 45 | Count: 100 | Total Reward: 17.32 | Count Reward Weak: 11 | Count Reward Moderate: 7 | Count Reward Strong: 9
Segment: 46 | Count: 100 | Total Reward: 19 | Count Reward Weak: 10 | Count Reward Moderate: 10 | Count Reward Strong: 9
Segment: 47 | Count: 100 | Total Reward: 19.02 | Count Reward Weak: 10 | Count Reward Moderate: 16 | Count Reward Strong: 5
Segment: 48 | Count: 100 | Total Reward: 17.97 | Count Reward Weak: 16 | Count Reward Moderate: 7 | Count Reward Strong: 8
Segment: 49 | Count: 100 | Total Reward: 19.66 | Count Reward Weak: 14 | Count Reward Moderate: 12 | Count Reward Strong: 7
Segment: 50 | Count: 100 | Total Reward: 17.64 | Count Reward Weak: 16 | Count Reward Moderate: 8 | Count Reward Strong: 7
Segment: 51 | Count: 100 | Total Reward: 15.63 | Count Reward Weak: 17 | Count Reward Moderate: 6 | Count Reward Strong: 6
Segment: 52 | Count: 100 | Total Reward: 16.32 | Count Reward Weak: 12 | Count Reward Moderate: 8 | Count Reward Strong: 7
Segment: 53 | Count: 100 | Total Reward: 17.99 | Count Reward Weak: 11 | Count Reward Moderate: 8 | Count Reward Strong: 9
